distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_consumed,cost_of_trip
16.6,3.8,43,21.5,16,E10,0,0,0,0.6308,1.2496148
15.4,4.2,50,21.5,21,E10,0,0,0,0.6468,1.2813108000000002
16.0,3.7,45,22.0,17,E10,0,0,0,0.5920000000000001,1.1727520000000002
16.0,4.2,41,22.0,15,E10,0,0,0,0.672,1.3312320000000002
15.4,4.1,45,22.0,24,E10,0,0,0,0.6314,1.2508034
16.0,4.0,43,22.0,16,E10,0,0,0,0.64,1.26784
21.0,3.8,37,22.0,21,E10,0,0,0,0.7979999999999999,1.580838
15.4,3.8,47,22.0,24,E10,0,0,0,0.5851999999999999,1.1592812
16.0,3.8,42,22.0,17,E10,0,0,0,0.608,1.204448
16.1,5.1,30,25.0,16,E10,1,1,0,0.8210999999999999,1.6265991
16.0,4.0,42,22.0,15,E10,0,0,0,0.64,1.26784
15.4,4.8,40,22.0,18,E10,0,0,0,0.7392,1.4643552
17.2,3.9,35,22.0,16,E10,0,0,0,0.6708,1.3288548
16.6,4.6,50,22.0,25,E10,0,0,0,0.7636,1.5126916
18.3,4.3,46,22.0,16,SP98,0,0,0,0.7868999999999999,1.7461310999999997
16.1,4.8,36,22.0,18,SP98,0,1,0,0.7728,1.7148432
16.0,4.1,46,22.0,17,SP98,0,0,0,0.6559999999999999,1.4556639999999996
16.3,4.0,35,22.0,23,SP98,0,0,0,0.652,1.446788
